time,open,high,low,close,Bullish Entry,Bearish Entry,CVD
1770915060,6881.5,6887.25,6879.75,6882.75,0,0,-206262
1770915120,6883,6884.5,6879.5,6882,0,0,-209989
1770915180,6882,6882.25,6878.75,6881,0,0,-215500
1770915240,6880.75,6882.75,6876.75,6880.25,0,0,-220403
1770915300,6880,6885,6880,6885,0,0,-215129
1770915360,6885,6885.5,6879.5,6881,0,0,-218881
1770915420,6880.75,6883.25,6880,6881,0,0,-215934
1770915480,6881,6883.5,6880.5,6883,0,0,-212941
1770915540,6883.25,6885,6880.5,6884.5,0,0,-208817
1770915600,6884.5,6884.5,6875,6875.25,0,0,-216849
1770915660,6875.25,6876.5,6871.75,6873.25,0,0,-224884
1770915720,6873.25,6883,6873,6883,0,0,-220082
1770915780,6882.5,6884.75,6879.5,6880.25,0,0,-224762
1770915840,6880.25,6882.75,6879.5,6882.25,0,0,-221811
1770915900,6882.25,6882.75,6875,6875,0,0,-225776
1770915960,6875.25,6886,6874,6885,0,0,-219081
1770916020,6884.75,6886.75,6881.5,6886.25,0,0,-214195
1770916080,6886,6886.75,6879.25,6880.25,0,0,-217704
1770916140,6880,6889.25,6879.5,6886.5,0,0,-213365
1770916200,6886.5,6886.5,6879.25,6879.75,0,0,-218573
1770916260,6879.75,6881,6875.75,6876,0,0,-222090
1770916320,6876,6878,6874.5,6874.75,0,0,-225488
1770916380,6874.75,6878.25,6874.25,6877.25,0,0,-222256
1770916440,6877.25,6880.75,6875.25,6876.25,0,0,-225686
1770916500,6876.25,6879.25,6874.75,6875,0,0,-228485
1770916560,6875,6879.5,6873.75,6879,0,0,-224788
1770916620,6878.75,6878.75,6872.75,6873.5,0,0,-228727
1770916680,6873.5,6874.75,6872.75,6874.5,0,0,-225344
1770916740,6874.5,6876.75,6873.25,6873.25,0,0,-229417
1770916800,6873.25,6882,6873.25,6881,0,0,-224198
1770916860,6881,6882.5,6879,6882,0,0,-220115
1770916920,6882,6886.25,6880.25,6886,0,0,-216388
1770916980,6886,6888.25,6885,6888,0,0,-212199
1770917040,6887.75,6888.25,6885,6886.75,0,0,-215590
1770917100,6886.75,6887.75,6883,6886.75,0,0,-218920
1770917160,6886.75,6888.75,6884.25,6886.25,0,0,-223118
1770917220,6886.25,6888.5,6885.25,6887.75,0,0,-219885
1770917280,6887.75,6890.75,6887.25,6888,0,0,-215121
1770917340,6888,6888.25,6876.75,6879.25,0,0,-221340
1770917400,6879.5,6885,6877.75,6879.75,0,0,-216566
1770917460,6879.75,6881,6877.25,6878,0,0,-219603
1770917520,6877.75,6879.5,6876.75,6878,0,0,-216680
1770917580,6878,6885.75,6877.5,6885.5,0,0,-213081
1770917640,6885.75,6886.25,6882.75,6885,0,0,-215848
1770917700,6885,6887.75,6884.75,6886.25,0,0,-213114
1770917760,6886.25,6890,6885.75,6888.75,0,0,-210311
1770917820,6888.75,6892.5,6888.75,6890.75,0,0,-206866
1770917880,6891,6894,6887.5,6888.75,0,0,-211420
1770917940,6888.75,6891.25,6885.75,6886.5,0,0,-215829
1770918000,6886.5,6889.5,6883.25,6889.25,0,0,-211869
1770918060,6889.25,6890.25,6886.25,6886.25,0,0,-215085
1770918120,6886.25,6888.5,6885.5,6887.5,0,0,-212421
1770918180,6887.25,6891,6887,6889.5,0,0,-210230
1770918240,6889.5,6892,6888.5,6889.25,0,0,-212811
1770918300,6889.5,6890.5,6887.75,6888.75,0,0,-215276
1770918360,6888.75,6892,6882.75,6883,0,0,-219177
1770918420,6883,6885.5,6882.75,6883.75,0,0,-216165
1770918480,6883.75,6884.75,6879,6879.25,0,0,-220136
1770918540,6879.5,6883.75,6879.5,6882.5,0,0,-217359
1770918600,6882.5,6887.25,6880.5,6880.75,0,0,-221441
1770918660,6881,6884,6879.75,6880.25,0,0,-224166
1770918720,6880,6881.75,6879.25,6880,0,0,-227648
1770918780,6879.75,6880.75,6874,6874.25,0,0,-231128
1770918840,6874,6875.75,6873.25,6875.25,0,0,-227831
1770918900,6875.25,6878,6875,6877,0,0,-224673
1770918960,6877,6877.25,6871.75,6872.25,0,0,-227925
1770919020,6872.25,6872.75,6868.25,6869.75,0,0,-233657
1770919080,6869.75,6870,6868.25,6869,0,0,-236411
1770919140,6869.25,6870,6867,6867.75,0,0,-239774
1770919200,6867.75,6868,6862.25,6865.25,0,0,-249566
1770919260,6865.5,6869,6865,6868.75,0,0,-245787
1770919320,6868.5,6874.25,6867.5,6870,0,0,-239660
1770919380,6870,6870.5,6865.5,6866.5,0,0,-243301
1770919440,6866.5,6871.5,6865.75,6869.25,0,0,-240558
1770919500,6869.25,6872.75,6868.75,6871.75,0,0,-237939
1770919560,6871.75,6873,6869.75,6872.25,0,0,-234659
1770919620,6872.5,6879.25,6872.25,6877.5,0,0,-229310
1770919680,6877.5,6878.25,6870.75,6871,0,0,-232234
